Tarih;Ay;Ana Depo;Depo;Kontak Tipi;GLN;Kontak Adı;Kontak Brick;Ürün;Kategori;Form;Satış Adet;Satış MF;Toplam Satış
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001718139;TEMİZ ECZANESİ;TOKAT ERBAA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001463848;TILSIM ECZANESİ;TRABZON AKCAABAT;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001553907;TİMAÇİN ECZANESİ;VAN MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001646463;TİMUR ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;4;0;4
24.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001457687;TUĞBA ECZANESİ;TRABZON AKCAABAT;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
24.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;Eczane;8680001695157;TURAN ECZANESİ;AGRI MERKEZ;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001232574;TURAN ECZANESİ;ORDU UNYE;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001654994;ULU ECZANESİ;TRABZON DOGU ILCELER -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001233144;ULUBEY ECZANESİ;ORDU DOGU ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001114146;UMUT ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001114146;UMUT ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;10;3;13
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001112463;UMUT ECZANESİ;SAMSUN DOGU ILCELER;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001105557;UMUT ECZANESİ;SAMSUN ATAKUM;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;4;0;4
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001793846;VATAN ECZANESİ;SAMSUN BAFRA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001491520;YAĞMUR ECZANESİ;HAKKARI;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300
24.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001716289;YAŞAM ECZANESİ;SAMSUN BAFRA;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001568864;YAVUZ ECZANESİ;BITLIS MERKEZ+CEVRE;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001521111;YENİ ECZANESİ;SAMSUN VEZIRKOPRU;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001551897;YENİ MECİTÖZÜ ECZANESİ;CORUM GUNEYDOGU ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
24.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT TRABZON;Eczane;8680001713677;YENİ MEDRESEÖNÜ ECZANESİ;ORDU DOGU ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001186853;YENİ PAZAR ECZANESİ;TOKAT BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
24.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001200238;YENİGÜN ECZANESİ;TOKAT BATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001109418;YEŞİLOĞLU ECZANESİ;SAMSUN DOGU ILCELER;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001114122;YILDIZ ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;5;0;5
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001114122;YILDIZ ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001115501;YILMAZ ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001255658;YILMAZ ECZANESİ;ORDU UNYE;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;6;1;7
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001145843;YONCA ECZANESİ;AGRI MERKEZ;FAMTREC;ASLAN;Famtrec 800/26,6mg 14 Film Kaplı Tablet;1;0;1
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001117536;YUMUK ECZANESİ;SINOP DOGU-BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
24.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001272778;ZAMAN ECZANESİ;TRABZON MERKEZ -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001642038;ZELİHA ÖDEMİŞ ECZANESİ;GIRESUN MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001116751;BAHÇELİEVLER ECZANESİ;SAMSUN BAHCELIEVLER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001420650;CANİK BULUT ECZANESİ;SAMSUN CANIK;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;4;0;4
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001101153;CEDİT ECZANESİ;SAMSUN ILKADIM - 2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
25.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001119028;ÇEVRE ECZANESİ;SAMSUN HURRIYET+ZAFER;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;10;3;13
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001503001;ÇINAR ECZANESİ;SAMSUN BAFRA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001503001;ÇINAR ECZANESİ;SAMSUN BAFRA;PANOCER;ASLAN;Panocer 40 mg 14 Enterik Kaplı Tablet;5;0;5
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001503001;ÇINAR ECZANESİ;SAMSUN BAFRA;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
