BÖLGE;TTT;BRİCK;İLAÇ GRUBU;İLAÇ; TOPLAM ;TOPLAM PPI %; 1.HAFTA ;1.H PPI %; 2.HAFTA ;2.H PPI %; 3.HAFTA ;3.H PPI %; 4.HAFTA ;4.H PPI %; 5.HAFTA ;5.H PPI %; 6.HAFTA ;6.H PPI %; 7.HAFTA ;7.H PPI %; 8.HAFTA ;8.H PPI %; 9.HAFTA ;9.H PPI %
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;ACIDPASS PAZARI;FAMODİN PLUS; 161 ;9,24%; 11 ;4,42%; 5 ;2,19%; 28 ;12,73%; 27 ;14,67%; 17 ;6,16%; 36 ;23,08%; 23 ;11,17%; 14 ;6,28%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 1.742 ;100,00%; 249 ;100,00%; 228 ;100,00%; 220 ;100,00%; 184 ;100,00%; 276 ;100,00%; 156 ;100,00%; 206 ;100,00%; 223 ;100,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 15 ;9,26%; -   ;0,00%; 2 ;6,67%; -   ;0,00%; 13 ;54,17%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;MOKSİFLOKSASİN PAZARI;AVELOX; 101 ;62,35%; 8 ;100,00%; 28 ;93,33%; 15 ;100,00%; 11 ;45,83%; 2 ;4,76%; 19 ;95,00%; 15 ;78,95%; 3 ;75,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;MOKSİFLOKSASİN PAZARI;MOXAI; 5 ;3,09%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 1 ;5,00%; 4 ;21,05%; -   ;0,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; 41 ;25,31%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 40 ;95,24%; -   ;0,00%; -   ;0,00%; 1 ;25,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 162 ;100,00%; 8 ;100,00%; 30 ;100,00%; 15 ;100,00%; 24 ;100,00%; 42 ;100,00%; 20 ;100,00%; 19 ;100,00%; 4 ;100,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;A FERİN; 680 ;13,81%; 93 ;25,00%; 91 ;16,98%; 134 ;28,39%; 96 ;11,72%; 35 ;5,78%; 75 ;24,35%; 90 ;7,15%; 66 ;11,96%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;GRİPORT COLD; 17 ;3,37%; 1 ;0,27%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 15 ;2,48%; 1 ;0,32%; -   ;0,00%; -   ;0,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;KATARIN; 664 ;13,48%; 53 ;14,25%; 117 ;21,83%; 70 ;14,83%; 33 ;4,03%; 91 ;15,02%; 55 ;17,86%; 200 ;15,89%; 45 ;8,15%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 505 ;10,26%; 18 ;4,84%; 70 ;13,06%; 75 ;15,89%; 60 ;7,33%; 123 ;20,30%; 15 ;4,87%; 109 ;8,66%; 35 ;6,34%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;OTHER COLD PREP; 870 ;17,67%; 92 ;24,73%; 163 ;30,41%; 66 ;13,98%; 151 ;18,44%; 104 ;17,16%; 50 ;16,23%; 118 ;9,37%; 126 ;22,83%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 2.095 ;42,55%; 110 ;29,57%; 95 ;17,72%; 120 ;25,42%; 441 ;53,85%; 226 ;37,29%; 97 ;31,49%; 731 ;58,06%; 275 ;49,82%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 93 ;1,89%; 5 ;1,34%; -   ;0,00%; 7 ;1,48%; 38 ;4,64%; 12 ;1,98%; 15 ;4,87%; 11 ;0,87%; 5 ;0,91%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 4.924 ;100,00%; 372 ;100,00%; 536 ;100,00%; 472 ;100,00%; 819 ;100,00%; 606 ;100,00%; 308 ;100,00%; 1.259 ;100,00%; 552 ;100,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;FAMTREC PAZARI;FAMTREC; 3 ;1,40%; -   ;0,00%; 3 ;6,98%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;FAMTREC PAZARI;BRUFEN; 179 ;83,26%; 12 ;100,00%; 30 ;69,77%; 17 ;89,47%; 30 ;93,75%; 37 ;100,00%; 6 ;100,00%; 27 ;61,36%; 20 ;90,91%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;FAMTREC PAZARI;DİĞER FAMOTİDİN; 33 ;15,35%; -   ;0,00%; 10 ;23,26%; 2 ;10,53%; 2 ;6,25%; -   ;0,00%; -   ;0,00%; 17 ;38,64%; 2 ;9,09%;;
SAMSUN;MEHMET AKIF OZGECEN;SINOP MERKEZ;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 215 ;100,00%; 12 ;100,00%; 43 ;100,00%; 19 ;100,00%; 32 ;100,00%; 37 ;100,00%; 6 ;100,00%; 44 ;100,00%; 22 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;PANTAPROZOL PAZARI;PANOCER TOPLAM; 26 ;4,96%; -   ;0,00%; 13 ;36,11%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 13 ;18,31%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;PANTAPROZOL PAZARI;PANTO; 371 ;70,80%; 19 ;86,36%; 23 ;63,89%; 60 ;84,51%; 74 ;89,16%; 52 ;61,90%; 68 ;74,73%; 40 ;60,61%; 35 ;49,30%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;PANTAPROZOL PAZARI;PANTACTIVE; 6 ;1,15%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 6 ;7,23%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 75 ;14,31%; 3 ;13,64%; -   ;0,00%; -   ;0,00%; 1 ;1,20%; 32 ;38,10%; 12 ;13,19%; 15 ;22,73%; 12 ;16,90%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;PANTAPROZOL PAZARI;PULCET; 46 ;8,78%; -   ;0,00%; -   ;0,00%; 11 ;15,49%; 2 ;2,41%; -   ;0,00%; 11 ;12,09%; 11 ;16,67%; 11 ;15,49%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 524 ;100,00%; 22 ;100,00%; 36 ;100,00%; 71 ;100,00%; 83 ;100,00%; 84 ;100,00%; 91 ;100,00%; 66 ;100,00%; 71 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI;ACIDPASS TOPLAM; 35 ;7,69%; -   ;0,00%; 12 ;46,15%; 3 ;4,76%; 11 ;24,44%; -   ;0,00%; 5 ;5,75%; 3 ;4,84%; 1 ;1,39%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI;TRIGAST; 141 ;30,99%; 46 ;57,50%; -   ;0,00%; 28 ;44,44%; -   ;0,00%; -   ;0,00%; 45 ;51,72%; 11 ;17,74%; 11 ;15,28%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI;TALCID; 41 ;9,01%; 2 ;2,50%; -   ;0,00%; 21 ;33,33%; 5 ;11,11%; 3 ;15,00%; -   ;0,00%; 3 ;4,84%; 7 ;9,72%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI;RENNIE; 120 ;26,37%; 21 ;26,25%; -   ;0,00%; -   ;0,00%; 5 ;11,11%; -   ;0,00%; 21 ;24,14%; 42 ;67,74%; 31 ;43,06%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI;DIGER ACIDPASS; 4 ;0,88%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 2 ;4,44%; 1 ;5,00%; 1 ;1,15%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI;FAMODİN PLUS; 114 ;25,05%; 11 ;13,75%; 14 ;53,85%; 11 ;17,46%; 22 ;48,89%; 16 ;80,00%; 15 ;17,24%; 3 ;4,84%; 22 ;30,56%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 455 ;100,00%; 80 ;100,00%; 26 ;100,00%; 63 ;100,00%; 45 ;100,00%; 20 ;100,00%; 87 ;100,00%; 62 ;100,00%; 72 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 13 ;32,50%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 13 ;72,22%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;MOKSİFLOKSASİN PAZARI;AVELOX; 27 ;67,50%; 8 ;100,00%; 1 ;100,00%; -   ;0,00%; 10 ;100,00%; -   ;0,00%; -   ;0,00%; 5 ;27,78%; 3 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;MOKSİFLOKSASİN PAZARI;MOXAI; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 40 ;100,00%; 8 ;100,00%; 1 ;100,00%; -   ;0,00%; 10 ;100,00%; -   ;0,00%; -   ;0,00%; 18 ;100,00%; 3 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;A FERİN; 343 ;35,36%; 66 ;69,47%; 99 ;48,29%; 22 ;37,29%; 55 ;67,07%; 2 ;22,22%; 77 ;57,89%; -   ;0,00%; 22 ;7,53%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;GRİPORT COLD; 42 ;51,85%; -   ;0,00%; 17 ;8,29%; 6 ;10,17%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 19 ;6,51%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;KATARIN; 71 ;7,32%; 3 ;3,16%; 3 ;1,46%; 5 ;8,47%; -   ;0,00%; -   ;0,00%; 20 ;15,04%; 34 ;35,79%; 6 ;2,05%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 81 ;8,35%; -   ;0,00%; 3 ;1,46%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 13 ;9,77%; -   ;0,00%; 65 ;22,26%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;OTHER COLD PREP; 203 ;20,93%; 1 ;1,05%; 58 ;28,29%; 21 ;35,59%; 10 ;12,20%; -   ;0,00%; 12 ;9,02%; 36 ;37,89%; 65 ;22,26%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 187 ;19,28%; 15 ;15,79%; 25 ;12,20%; 5 ;8,47%; 17 ;20,73%; 4 ;44,44%; 11 ;8,27%; 25 ;26,32%; 85 ;29,11%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 43 ;4,43%; 10 ;10,53%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 3 ;33,33%; -   ;0,00%; -   ;0,00%; 30 ;10,27%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 970 ;100,00%; 95 ;100,00%; 205 ;100,00%; 59 ;100,00%; 82 ;100,00%; 9 ;100,00%; 133 ;100,00%; 95 ;100,00%; 292 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;FAMTREC PAZARI;FAMTREC; 3 ;1,62%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 3 ;6,98%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;FAMTREC PAZARI;BRUFEN; 165 ;89,19%; 60 ;100,00%; -   ;0,00%; 10 ;100,00%; 40 ;93,02%; 15 ;100,00%; 10 ;71,43%; 5 ;100,00%; 25 ;78,13%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;FAMTREC PAZARI;DİĞER FAMOTİDİN; 17 ;9,19%; -   ;0,00%; 6 ;100,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 4 ;28,57%; -   ;0,00%; 7 ;21,88%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -1;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 185 ;100,00%; 60 ;100,00%; 6 ;100,00%; 10 ;100,00%; 43 ;100,00%; 15 ;100,00%; 14 ;100,00%; 5 ;100,00%; 32 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;PANTAPROZOL PAZARI;PANOCER TOPLAM; 1.469 ;22,33%; 86 ;15,33%; 117 ;34,51%; 276 ;46,62%; 355 ;41,18%; 426 ;19,59%; 39 ;7,93%; 102 ;14,19%; 68 ;8,10%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;PANTAPROZOL PAZARI;PANTO; 1.941 ;29,50%; 270 ;48,13%; 141 ;41,59%; 215 ;36,32%; 335 ;38,86%; 241 ;11,08%; 202 ;41,06%; 304 ;42,28%; 233 ;27,77%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;PANTAPROZOL PAZARI;PANTACTIVE; 1.681 ;25,55%; 64 ;11,41%; 25 ;7,37%; 38 ;6,42%; 18 ;2,09%; 876 ;40,28%; 58 ;11,79%; 190 ;26,43%; 412 ;49,11%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 1.237 ;18,80%; 96 ;17,11%; 42 ;12,39%; 37 ;6,25%; 124 ;14,39%; 583 ;26,80%; 153 ;31,10%; 99 ;13,77%; 103 ;12,28%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;PANTAPROZOL PAZARI;PULCET; 251 ;3,82%; 45 ;8,02%; 14 ;4,13%; 26 ;4,39%; 30 ;3,48%; 49 ;2,25%; 40 ;8,13%; 24 ;3,34%; 23 ;2,74%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 6.579 ;100,00%; 561 ;100,00%; 339 ;100,00%; 592 ;100,00%; 862 ;100,00%; 2.175 ;100,00%; 492 ;100,00%; 719 ;100,00%; 839 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI;ACIDPASS TOPLAM; 958 ;17,57%; 313 ;41,29%; 148 ;33,26%; 2 ;0,90%; 132 ;20,40%; 248 ;14,56%; 89 ;12,68%; 14 ;3,20%; 12 ;2,23%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI;TRIGAST; 1.937 ;35,52%; 29 ;3,83%; 77 ;17,30%; 44 ;19,91%; 129 ;19,94%; 1.109 ;65,12%; 263 ;37,46%; 234 ;53,42%; 52 ;9,65%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI;TALCID; 543 ;9,96%; 66 ;8,71%; 54 ;12,13%; 34 ;15,38%; 31 ;4,79%; 26 ;1,53%; 63 ;8,97%; 62 ;14,16%; 207 ;38,40%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI;RENNIE; 645 ;11,83%; 117 ;15,44%; 79 ;17,75%; 33 ;14,93%; 24 ;3,71%; 68 ;3,99%; 115 ;16,38%; 63 ;14,38%; 146 ;27,09%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI;DIGER ACIDPASS; 6 ;0,11%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 2 ;0,31%; 3 ;0,18%; -   ;0,00%; -   ;0,00%; 1 ;0,19%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI;FAMODİN PLUS; 1.364 ;25,01%; 233 ;30,74%; 87 ;19,55%; 108 ;48,87%; 329 ;50,85%; 249 ;14,62%; 172 ;24,50%; 65 ;14,84%; 121 ;22,45%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 5.453 ;100,00%; 758 ;100,00%; 445 ;100,00%; 221 ;100,00%; 647 ;100,00%; 1.703 ;100,00%; 702 ;100,00%; 438 ;100,00%; 539 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 276 ;45,62%; 20 ;20,62%; 12 ;18,75%; 60 ;66,67%; 45 ;66,18%; 45 ;52,94%; 75 ;60,48%; 6 ;21,43%; 13 ;26,53%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;MOKSİFLOKSASİN PAZARI;AVELOX; 137 ;22,64%; 22 ;22,68%; 10 ;15,63%; 13 ;14,44%; 8 ;11,76%; 16 ;18,82%; 34 ;27,42%; 19 ;67,86%; 15 ;30,61%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;MOKSİFLOKSASİN PAZARI;MOXAI; 34 ;5,62%; 2 ;2,06%; 14 ;21,88%; 1 ;1,11%; 7 ;10,29%; 7 ;8,24%; 1 ;0,81%; 2 ;7,14%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; 144 ;23,80%; 46 ;47,42%; 28 ;43,75%; 16 ;17,78%; 8 ;11,76%; 10 ;11,76%; 14 ;11,29%; 1 ;3,57%; 21 ;42,86%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; 14 ;2,31%; 7 ;7,22%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 7 ;8,24%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 605 ;100,00%; 97 ;100,00%; 64 ;100,00%; 90 ;100,00%; 68 ;100,00%; 85 ;100,00%; 124 ;100,00%; 28 ;100,00%; 49 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;A FERİN; 648 ;17,94%; 78 ;16,53%; 67 ;15,51%; 55 ;20,83%; 96 ;20,73%; 55 ;11,02%; 93 ;28,44%; 68 ;15,18%; 136 ;19,21%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;GRİPORT COLD; 164 ;154,72%; 37 ;7,84%; 81 ;18,75%; 12 ;4,55%; 2 ;0,43%; -   ;0,00%; 1 ;0,31%; 8 ;1,79%; 23 ;3,25%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;KATARIN; 384 ;10,63%; 50 ;10,59%; 20 ;4,63%; 58 ;21,97%; 80 ;17,28%; 48 ;9,62%; 19 ;5,81%; 80 ;17,86%; 29 ;4,10%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 106 ;2,93%; 14 ;2,97%; 9 ;2,08%; 20 ;7,58%; 2 ;0,43%; 5 ;1,00%; 18 ;5,50%; 16 ;3,57%; 22 ;3,11%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;OTHER COLD PREP; 686 ;18,99%; 91 ;19,28%; 141 ;32,64%; 40 ;15,15%; 78 ;16,85%; 98 ;19,64%; 52 ;15,90%; 109 ;24,33%; 77 ;10,88%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 1.413 ;39,11%; 191 ;40,47%; 89 ;20,60%; 67 ;25,38%; 175 ;37,80%; 285 ;57,11%; 112 ;34,25%; 134 ;29,91%; 360 ;50,85%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 212 ;5,87%; 11 ;2,33%; 25 ;5,79%; 12 ;4,55%; 30 ;6,48%; 8 ;1,60%; 32 ;9,79%; 33 ;7,37%; 61 ;8,62%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 3.613 ;100,00%; 472 ;100,00%; 432 ;100,00%; 264 ;100,00%; 463 ;100,00%; 499 ;100,00%; 327 ;100,00%; 448 ;100,00%; 708 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;FAMTREC PAZARI;FAMTREC; 84 ;4,51%; -   ;0,00%; 19 ;10,73%; 14 ;10,07%; 10 ;3,10%; 41 ;14,96%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;FAMTREC PAZARI;BRUFEN; 1.525 ;81,90%; 355 ;93,92%; 104 ;58,76%; 97 ;69,78%; 250 ;77,40%; 215 ;78,47%; 211 ;88,66%; 155 ;79,49%; 138 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;FAMTREC PAZARI;DİĞER FAMOTİDİN; 253 ;13,59%; 23 ;6,08%; 54 ;30,51%; 28 ;20,14%; 63 ;19,50%; 18 ;6,57%; 27 ;11,34%; 40 ;20,51%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -2;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 1.862 ;100,00%; 378 ;100,00%; 177 ;100,00%; 139 ;100,00%; 323 ;100,00%; 274 ;100,00%; 238 ;100,00%; 195 ;100,00%; 138 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;PANTAPROZOL PAZARI;PANOCER TOPLAM; 820 ;39,48%; 13 ;13,68%; 55 ;22,73%; 13 ;7,69%; 3 ;1,60%; 352 ;58,67%; 55 ;27,64%; 329 ;70,75%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;PANTAPROZOL PAZARI;PANTO; 797 ;38,37%; 45 ;47,37%; 109 ;45,04%; 52 ;30,77%; 175 ;93,09%; 111 ;18,50%; 121 ;60,80%; 95 ;20,43%; 89 ;74,79%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;PANTAPROZOL PAZARI;PANTACTIVE; 100 ;4,81%; -   ;0,00%; 52 ;21,49%; 12 ;7,10%; -   ;0,00%; 24 ;4,00%; 6 ;3,02%; 6 ;1,29%; -   ;0,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 279 ;13,43%; 26 ;27,37%; 14 ;5,79%; 78 ;46,15%; 8 ;4,26%; 100 ;16,67%; 5 ;2,51%; 32 ;6,88%; 16 ;13,45%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;PANTAPROZOL PAZARI;PULCET; 81 ;3,90%; 11 ;11,58%; 12 ;4,96%; 14 ;8,28%; 2 ;1,06%; 13 ;2,17%; 12 ;6,03%; 3 ;0,65%; 14 ;11,76%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 2.077 ;100,00%; 95 ;100,00%; 242 ;100,00%; 169 ;100,00%; 188 ;100,00%; 600 ;100,00%; 199 ;100,00%; 465 ;100,00%; 119 ;100,00%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;ACIDPASS PAZARI;ACIDPASS TOPLAM; 254 ;24,19%; 11 ;14,29%; 68 ;31,34%; 69 ;29,24%; 2 ;2,78%; 11 ;5,24%; 76 ;65,52%; 2 ;2,70%; 15 ;31,25%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;ACIDPASS PAZARI;TRIGAST; 273 ;26,00%; 23 ;29,87%; 45 ;20,74%; 51 ;21,61%; 28 ;38,89%; 100 ;47,62%; 11 ;9,48%; 11 ;14,86%; 4 ;8,33%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;ACIDPASS PAZARI;TALCID; 114 ;10,86%; 26 ;33,77%; 14 ;6,45%; 31 ;13,14%; 7 ;9,72%; -   ;0,00%; 25 ;21,55%; 3 ;4,05%; 8 ;16,67%;;
SAMSUN;SAMET CETIN;SIVAS MERKEZ -3;ACIDPASS PAZARI;RENNIE; 257 ;24,48%; 15 ;19,48%; 56 ;25,81%; 69 ;29,24%; 8 ;11,11%; 68 ;32,38%; -   ;0,00%; 36 ;48,65%; 5 ;10,42%;;
